d1 d2 d3
2.96000004 4.96000004 5.59999990
3.20000005 4.63999987 5.28000021
3.35999990 4.07999992 4.63999987
3.27999997 4.40000010 3.68000007
3.00000000 4.07999992 6.07999992
3.00000000 4.00000000 4.32000017
3.16000009 4.55999994 4.63999987
3.20000005 4.48000002 3.68000007
3.03999996 3.83999991 5.11999989
3.11999989 4.15999985 5.11999989
3.03999996 3.44000006 4.63999987
3.31999993 4.32000017 4.63999987
3.07999992 4.80000019 4.32000017
3.16000009 4.07999992 5.76000023
3.35999990 4.32000017 4.32000017
2.96000004 4.00000000 4.48000002
2.83999991 4.80000019 4.48000002
3.20000005 3.92000008 4.00000000
3.11999989 4.07999992 5.59999990
3.11999989 4.63999987 4.32000017
3.24000001 4.40000010 5.11999989
2.79999995 4.00000000 3.83999991
3.00000000 3.83999991 6.07999992
3.00000000 4.40000010 5.59999990
2.88000011 4.15999985 5.28000021
3.11999989 4.15999985 4.80000019
3.16000009 3.83999991 5.92000008
3.07999992 2.96000004 4.63999987
3.07999992 4.00000000 4.15999985
3.00000000 4.71999979 4.32000017
2.96000004 3.92000008 5.28000021
3.03999996 4.40000010 5.28000021
3.24000001 4.48000002 4.32000017
3.31999993 4.55999994 4.96000004
3.24000001 3.83999991 5.11999989
3.31999993 4.00000000 4.15999985
3.20000005 4.00000000 5.76000023
3.03999996 4.55999994 6.40000010
3.20000005 4.55999994 4.48000002
2.83999991 4.23999977 4.63999987
3.27999997 4.00000000 4.63999987
2.92000008 4.00000000 5.28000021
3.03999996 4.71999979 4.80000019
3.20000005 4.00000000 6.07999992
3.16000009 4.32000017 4.96000004
3.24000001 4.15999985 5.28000021
3.03999996 4.71999979 5.59999990
3.07999992 4.32000017 5.44000006
2.96000004 4.40000010 5.11999989
3.40000010 3.92000008 5.28000021
3.24000001 4.32000017 4.32000017
3.20000005 3.75999999 5.11999989
2.96000004 4.88000011 5.28000021
2.75999999 4.40000010 5.76000023
3.40000010 3.83999991 4.48000002
3.07999992 4.32000017 4.63999987
2.92000008 4.15999985 5.44000006
3.24000001 3.68000007 5.44000006
3.03999996 3.68000007 4.48000002
3.00000000 3.83999991 4.96000004
3.20000005 3.92000008 6.07999992
3.11999989 4.48000002 5.11999989
3.44000006 4.00000000 6.23999977
3.27999997 4.40000010 5.11999989
2.96000004 4.23999977 3.68000007
3.55999994 4.00000000 5.92000008
2.96000004 4.23999977 4.63999987
3.07999992 4.00000000 4.32000017
3.11999989 3.83999991 5.44000006
3.16000009 3.75999999 5.59999990
3.11999989 4.40000010 5.11999989
3.24000001 4.23999977 4.32000017
3.20000005 4.23999977 4.32000017
3.11999989 3.83999991 5.44000006
3.27999997 3.44000006 5.76000023
3.20000005 4.40000010 5.76000023
3.20000005 3.59999990 4.63999987
3.20000005 4.32000017 4.80000019
3.40000010 4.15999985 4.63999987
3.07999992 4.07999992 5.59999990
3.20000005 4.40000010 6.07999992
3.24000001 4.07999992 4.80000019
3.20000005 4.00000000 6.23999977
3.03999996 4.40000010 4.48000002
3.11999989 4.00000000 5.76000023
2.79999995 3.92000008 4.32000017
3.16000009 3.92000008 5.59999990
3.24000001 3.59999990 6.71999979
3.35999990 4.23999977 5.76000023
3.20000005 4.23999977 5.76000023
2.79999995 4.40000010 5.44000006
3.16000009 3.59999990 3.83999991
3.03999996 3.83999991 4.15999985
3.03999996 4.15999985 5.28000021
3.24000001 4.07999992 5.59999990
3.11999989 3.59999990 5.44000006
3.35999990 3.75999999 4.96000004
3.35999990 3.75999999 4.80000019
2.75999999 4.15999985 5.11999989
3.27999997 4.07999992 4.15999985
3.27999997 4.32000017 4.96000004
3.11999989 4.00000000 4.96000004
3.11999989 4.15999985 6.07999992
3.24000001 4.55999994 4.96000004
3.44000006 4.00000000 4.15999985
3.48000002 4.63999987 3.83999991
3.07999992 4.63999987 6.07999992
3.16000009 4.55999994 5.28000021
3.24000001 3.75999999 4.80000019
3.03999996 3.92000008 4.15999985
3.20000005 4.32000017 5.59999990
3.27999997 3.75999999 4.15999985
3.44000006 4.23999977 4.96000004
3.27999997 4.40000010 4.32000017
3.11999989 4.15999985 4.15999985
3.03999996 4.48000002 5.28000021
3.20000005 4.15999985 4.96000004
3.16000009 4.32000017 4.32000017
3.40000010 4.23999977 4.48000002
3.11999989 4.40000010 5.59999990
3.03999996 4.15999985 6.23999977
3.16000009 3.68000007 4.80000019
3.35999990 4.07999992 4.48000002
3.27999997 3.92000008 4.80000019
3.16000009 4.15999985 5.76000023
3.11999989 4.32000017 6.07999992
2.96000004 3.83999991 4.96000004
3.16000009 4.55999994 6.23999977
3.24000001 4.15999985 4.80000019
3.40000010 4.00000000 5.44000006
3.11999989 4.15999985 4.63999987
3.07999992 4.55999994 4.96000004
3.07999992 4.63999987 6.55999994
3.27999997 4.07999992 4.96000004
3.07999992 4.23999977 4.32000017
3.44000006 4.48000002 4.80000019
3.20000005 3.92000008 4.80000019
3.31999993 4.40000010 5.92000008
3.00000000 3.92000008 5.92000008
3.11999989 3.75999999 4.32000017
3.44000006 4.07999992 5.28000021
3.03999996 4.07999992 4.80000019
3.03999996 4.15999985 5.44000006
3.31999993 3.83999991 5.28000021
2.88000011 4.40000010 6.55999994
3.11999989 4.80000019 4.96000004
3.11999989 4.55999994 5.44000006
3.07999992 4.07999992 6.07999992
3.27999997 4.23999977 5.76000023
3.40000010 3.92000008 4.80000019
3.24000001 4.23999977 4.96000004
3.44000006 4.48000002 4.63999987
2.96000004 4.23999977 5.28000021
2.92000008 4.15999985 4.80000019
2.96000004 4.00000000 5.59999990
3.16000009 4.00000000 4.48000002
3.16000009 5.03999996 5.76000023
2.92000008 4.40000010 5.44000006
3.27999997 4.55999994 5.44000006
3.20000005 3.75999999 4.63999987
3.11999989 3.92000008 4.96000004
3.35999990 4.48000002 5.44000006
3.16000009 4.07999992 5.11999989
3.24000001 3.68000007 4.15999985
2.83999991 4.96000004 5.28000021
3.03999996 4.00000000 4.80000019
3.07999992 4.71999979 5.28000021
3.07999992 3.59999990 4.48000002
3.35999990 4.88000011 3.20000005
3.40000010 5.28000021 5.59999990
3.16000009 3.75999999 5.11999989
3.55999994 4.71999979 4.80000019
2.92000008 4.00000000 4.48000002
3.11999989 4.07999992 5.59999990
3.35999990 4.32000017 5.11999989
2.96000004 4.40000010 4.63999987
3.24000001 4.55999994 5.11999989
3.11999989 4.55999994 5.11999989
3.00000000 4.40000010 4.15999985
2.96000004 4.40000010 5.76000023
3.11999989 4.15999985 4.96000004
3.31999993 3.75999999 4.96000004
2.92000008 3.92000008 4.15999985
3.11999989 4.15999985 4.48000002
3.07999992 4.48000002 3.83999991
2.88000011 4.07999992 4.32000017
3.07999992 4.32000017 4.32000017
3.00000000 4.00000000 4.32000017
3.03999996 4.55999994 4.32000017
3.20000005 4.55999994 5.76000023
3.27999997 4.15999985 4.15999985
3.11999989 3.44000006 4.48000002
3.27999997 3.51999998 4.63999987
3.16000009 3.92000008 4.96000004
2.88000011 4.32000017 4.48000002
3.16000009 4.55999994 5.11999989
3.00000000 3.83999991 4.96000004
3.31999993 4.23999977 5.44000006
2.88000011 3.68000007 4.48000002
3.35999990 4.71999979 6.07999992
3.20000005 4.15999985 5.44000006
3.35999990 3.35999990 4.48000002
3.11999989 3.75999999 5.59999990
3.44000006 3.68000007 5.11999989
3.24000001 5.11999989 6.88000011
3.40000010 4.96000004 3.51999998
3.48000002 4.88000011 4.15999985
3.16000009 4.07999992 4.63999987
3.24000001 4.48000002 4.96000004
3.35999990 4.40000010 5.59999990
3.35999990 4.32000017 5.59999990
3.11999989 4.07999992 4.63999987
3.20000005 4.00000000 4.15999985
3.44000006 4.48000002 4.63999987
3.11999989 4.80000019 6.88000011
3.03999996 3.68000007 4.32000017
3.16000009 4.40000010 4.63999987
3.16000009 4.63999987 5.92000008
3.27999997 4.55999994 6.07999992
2.88000011 3.68000007 5.44000006
3.24000001 3.59999990 4.15999985
3.11999989 4.88000011 5.44000006
3.11999989 3.92000008 4.63999987
3.31999993 4.23999977 3.51999998
3.11999989 3.75999999 4.63999987
3.20000005 4.15999985 5.28000021
3.64000010 4.71999979 5.11999989
3.16000009 3.59999990 4.32000017
2.79999995 4.00000000 5.59999990
3.16000009 4.07999992 6.23999977
3.27999997 3.20000005 5.11999989
3.03999996 4.71999979 5.28000021
3.16000009 3.92000008 6.23999977
2.72000003 4.63999987 5.44000006
3.24000001 4.23999977 5.76000023
3.31999993 4.32000017 5.44000006
3.11999989 3.75999999 4.80000019
3.11999989 3.20000005 5.28000021
3.20000005 4.00000000 4.80000019
3.00000000 4.32000017 5.11999989
