d1 d2 d3
3.14132643 4.18749762 4.93361425
3.14227200 4.18913984 4.93231344
3.14211202 4.18871212 4.93321943
3.14141154 4.18716478 4.93631840
3.14113998 4.18982458 4.93629122
3.14216995 4.18918800 4.93512297
3.14115000 4.18865919 4.93405104
3.14186597 4.18977022 4.93487024
3.14104438 4.18964005 4.93909597
3.14128113 4.18739128 4.93402100
3.14134645 4.19015980 4.94062233
3.14260483 4.19061613 4.93605900
3.14145994 4.18807840 4.93524647
3.14132190 4.18845606 4.93298388
3.14078951 4.18693829 4.93054247
3.14157629 4.18850470 4.93577909
3.14091802 4.18896151 4.93514061
3.14185810 4.18712711 4.93434381
3.14133692 4.19102240 4.93585443
3.14225078 4.18940496 4.94005919
3.14200163 4.18829203 4.93197918
3.14176011 4.18899107 4.93885612
3.14159966 4.18950558 4.93278885
3.14106321 4.19111776 4.93128490
3.14159918 4.18998575 4.94080305
3.14136314 4.18822718 4.93723059
3.14144278 4.18918180 4.93217134
3.14146876 4.18680811 4.93222570
3.14211965 4.18592501 4.93280315
3.14211965 4.19163609 4.93461752
3.14207959 4.18813896 4.93515825
3.14133120 4.19024467 4.93595362
3.14190793 4.18945217 4.93510389
3.14128518 4.18802786 4.93122101
3.14237833 4.18698788 4.93405294
3.14145589 4.19115686 4.93603039
3.14148355 4.19016981 4.93286705
3.14200163 4.18937445 4.92767859
3.14102364 4.18721581 4.93814564
3.14149284 4.18741846 4.93132162
3.14233589 4.18761301 4.93929100
3.14200830 4.18898487 4.93538570
3.14145207 4.18793774 4.93166399
3.14252043 4.18696022 4.93721437
3.14156389 4.19175100 4.93735695
3.14176035 4.18920898 4.93601942
3.14208317 4.18760157 4.93804502
3.14144230 4.18838167 4.93794870
3.14156723 4.19044495 4.93854094
3.13984489 4.18932629 4.93378735
3.14148521 4.18953991 4.93485928
3.14097953 4.18916082 4.93614721
3.14175200 4.18882656 4.93687344
3.14140487 4.19044495 4.93740463
3.14244890 4.18638802 4.93465424
3.14082956 4.19023037 4.93685913
3.14147925 4.18723822 4.93368149
3.14141989 4.19063759 4.93339062
3.14148235 4.18816233 4.93152475
3.14192319 4.18997383 4.93492317
3.14244556 4.18747902 4.93391514
3.14111328 4.18935585 4.93197775
3.14136529 4.18680239 4.93930101
3.14162970 4.18811989 4.93263197
3.14129114 4.18971682 4.92721939
3.14202476 4.18854618 4.93763208
3.14240479 4.18938494 4.93687201
3.14115191 4.18864965 4.93488979
3.14187288 4.18735123 4.93541288
3.14055991 4.18713045 4.93431187
3.14157486 4.18872404 4.93435192
3.14117050 4.18870544 4.94057417
3.14253044 4.18763542 4.93260622
3.14281321 4.18672800 4.93611670
3.14185047 4.18835688 4.93523502
3.14105725 4.18982983 4.93385744
3.14224768 4.18857670 4.93782377
3.14056087 4.18878794 4.93732023
3.14031124 4.18631363 4.93383360
3.14097476 4.18778801 4.93401098
3.14088392 4.18848324 4.93405104
3.14071488 4.18983459 4.93408489
3.14060879 4.18817902 4.93473911
3.14173794 4.18756866 4.93438864
3.14175439 4.19064808 4.93820143
3.14106393 4.18863583 4.93411350
3.14167571 4.18976545 4.93759537
3.14114118 4.18957138 4.93578100
3.14245844 4.18989372 4.93773603
3.14160109 4.18811178 4.93562412
3.14166188 4.18819761 4.93538713
3.14243245 4.19030333 4.93569279
3.14135194 4.18745613 4.93480778
3.14123917 4.19104004 4.93628788
3.14159727 4.18963766 4.93687201
