d1 d2 d3
3.09599996 4.20800018 4.89599991
3.15199995 4.13600016 5.42399979
3.16000009 4.23999977 5.21600008
3.12800002 4.28800011 4.88000011
3.14800000 4.38399982 5.18400002
3.11999989 4.10400009 4.86399984
3.11999989 4.10400009 5.28000021
3.08800006 4.26399994 4.62400007
3.09999990 4.28800011 5.08799982
2.98000002 4.09600019 5.18400002
3.09999990 4.15199995 4.65600014
3.23600006 4.21600008 4.92799997
3.21600008 4.32000017 5.07200003
3.20400000 4.37599993 4.57600021
3.07599998 4.13600016 5.19999981
3.07999992 4.08799982 4.80000019
3.15199995 4.30399990 5.11999989
3.08400011 4.36000013 5.36000013
3.18400002 4.19999981 5.32800007
3.19199991 4.39200020 5.28000021
3.17199993 4.23999977 4.97599983
3.25600004 4.36000013 4.94399977
3.16799998 4.21600008 5.10400009
3.16799998 4.05600023 5.16800022
3.14800000 4.25600004 5.11999989
3.14800000 4.23199987 4.97599983
3.15599990 4.38399982 5.23199987
3.11599994 4.13600016 4.73600006
3.11999989 4.19199991 4.70400000
3.21600008 4.08799982 5.10400009
3.16000009 4.07999992 4.96000004
3.08800006 4.03999996 4.19199991
3.14000010 4.45599985 4.73600006
3.16400003 4.14400005 4.73600006
3.11599994 4.13600016 4.92799997
3.11599994 4.28800011 4.70400000
3.14400005 4.24800014 4.40000010
3.08800006 4.29600000 4.62400007
3.05999994 4.03200006 5.16800022
3.13599992 4.35200024 4.88000011
3.11199999 4.14400005 4.83199978
3.22000003 4.36800003 4.88000011
3.08800006 4.40799999 4.99200010
3.14400005 4.05600023 4.83199978
3.09999990 4.19199991 4.75199986
3.08800006 4.32000017 4.83199978
3.17600012 4.16800022 4.97599983
3.16799998 4.25600004 5.29600000
3.18400002 4.19999981 4.97599983
3.06800008 3.82399988 4.97599983
3.26399994 4.11199999 4.97599983
3.18799996 4.20800018 4.89599991
3.16000009 4.18400002 5.16800022
3.17600012 4.48799992 5.36000013
3.24399996 4.19999981 4.80000019
3.18799996 3.87199998 5.21600008
3.06399989 4.27199984 5.07200003
3.05999994 4.08799982 4.94399977
3.09200001 4.23999977 5.07200003
3.19199991 4.02400017 4.71999979
3.17600012 4.03999996 5.11999989
3.20400000 4.42399979 4.94399977
3.11599994 3.88000011 5.34399986
3.28399992 4.25600004 5.11999989
3.11599994 4.18400002 4.73600006
3.17199993 4.55200005 4.52799988
3.13199997 4.05600023 4.97599983
3.11599994 4.15999985 4.80000019
3.07599998 4.37599993 4.63999987
3.24399996 3.92799997 5.23199987
3.11599994 4.39200020 5.08799982
3.16000009 4.36800003 5.07200003
3.10400009 4.35200024 5.03999996
3.13199997 4.21600008 4.97599983
3.11599994 4.36000013 4.76800013
3.09599996 4.20800018 4.84800005
3.17199993 4.03999996 4.60799980
3.19600010 4.16800022 4.86399984
3.14800000 4.32000017 5.07200003
3.11599994 4.11999989 4.76800013
3.19199991 4.18400002 5.29600000
3.17199993 4.27199984 4.92799997
3.08400011 4.03999996 4.99200010
3.17600012 4.23999977 4.62400007
3.16400003 4.04799986 4.81599998
3.14000010 4.25600004 5.10400009
3.12800002 4.13600016 4.99200010
3.10800004 3.95199990 5.03999996
3.17199993 4.11199999 4.25600004
3.13199997 4.03200006 4.73600006
3.18799996 4.31199980 5.07200003
3.14000010 4.29600000 4.80000019
3.10800004 4.11199999 4.97599983
3.10400009 4.22399998 4.59200001
3.18000007 4.03999996 4.65600014
3.13599992 3.98399997 5.36000013
3.15599990 4.15999985 5.10400009
3.16000009 4.23199987 4.78399992
3.16799998 4.13600016 4.78399992
3.16400003 4.00799990 4.96000004
3.08800006 4.29600000 5.45599985
3.25600004 4.22399998 5.18400002
3.22000003 4.02400017 4.76800013
3.21199989 4.30399990 4.67199993
3.13199997 4.12799978 5.37599993
3.16799998 4.07999992 5.32800007
3.20400000 4.32800007 5.10400009
3.09599996 4.42399979 4.70400000
3.24399996 4.00000000 5.03999996
3.07999992 4.11199999 4.94399977
3.21600008 4.48799992 5.16800022
3.25200009 4.07200003 5.34399986
2.97600007 4.16800022 5.48799992
3.13599992 4.05600023 5.16800022
3.16400003 4.15199995 4.75199986
3.15599990 4.04799986 4.92799997
3.09200001 4.36000013 5.24800014
3.20799994 4.09600019 5.02400017
3.19199991 4.26399994 4.76800013
3.22399998 4.21600008 5.03999996
3.19199991 4.19199991 5.08799982
3.13199997 3.99200010 4.67199993
3.15599990 4.05600023 4.83199978
3.11599994 4.15199995 4.99200010
3.11999989 3.97600007 5.26399994
3.22000003 4.09600019 4.96000004
3.14400005 3.88000011 4.81599998
3.23600006 4.28000021 4.70400000
3.11199999 4.41599989 4.94399977
3.14000010 4.22399998 5.19999981
3.18400002 4.20800018 4.80000019
3.14400005 4.19999981 4.51200008
3.16000009 4.30399990 5.05600023
3.25200009 4.19999981 5.11999989
3.09200001 4.35200024 5.07200003
3.22799993 4.35200024 5.29600000
3.03600001 4.32800007 5.28000021
3.18400002 4.07200003 4.75199986
3.19199991 4.33599997 4.51200008
3.16799998 4.35200024 4.68800020
3.09200001 4.23999977 4.71999979
3.12800002 4.11999989 4.52799988
3.18000007 4.26399994 4.97599983
3.20000005 4.12799978 4.99200010
3.14800000 4.19999981 4.84800005
3.14000010 4.22399998 5.08799982
3.20400000 4.22399998 4.91200018
3.29999995 4.19199991 4.92799997
3.14800000 4.15199995 4.86399984
3.06399989 4.22399998 5.05600023
3.13199997 4.24800014 4.68800020
3.16400003 4.28800011 4.89599991
3.14000010 4.17600012 5.31199980
3.14400005 4.28000021 4.62400007
3.20400000 4.15199995 5.13600016
3.18799996 4.23199987 4.96000004
3.16799998 4.28800011 4.81599998
3.16400003 4.27199984 5.07200003
3.19600010 4.36000013 5.02400017
3.15599990 4.28800011 4.89599991
3.19600010 4.23999977 5.13600016
3.22000003 4.03200006 5.02400017
3.12800002 4.25600004 4.75199986
3.15199995 4.21600008 4.84800005
3.15599990 4.27199984 4.83199978
3.10400009 4.11199999 4.68800020
3.14000010 4.11199999 5.29600000
3.18400002 4.13600016 4.80000019
3.05999994 4.05600023 4.49599981
3.07200003 4.16800022 4.60799980
3.09999990 4.13600016 4.88000011
3.16799998 4.11999989 4.80000019
3.22799993 4.21600008 4.80000019
3.15599990 4.27199984 4.92799997
3.15199995 4.11999989 5.31199980
3.03999996 4.35200024 4.80000019
