d1 d2 d3
3.13957191 4.18300009 4.94273615
3.14317608 4.19323206 4.93638420
3.13950396 4.18419981 4.93817616
3.13992000 4.18591213 4.93737602
3.14181995 4.18721581 4.93688011
3.14348006 4.18616819 4.93553591
3.14368796 4.19368792 4.94087982
3.14114809 4.19280005 4.92868805
3.14187598 4.18967199 4.93123198
3.14080000 4.18841600 4.93985605
3.14181209 4.18976021 4.93964815
3.14267993 4.18508816 4.93340778
3.14224792 4.19832802 4.94067192
3.14132810 4.18974400 4.93259192
3.13951206 4.18043184 4.93268824
3.14210010 4.19751978 4.93691206
3.14310002 4.19380808 4.92915201
3.14128804 4.18872023 4.92548800
3.14551210 4.18909597 4.93966389
3.13897204 4.18327999 4.93753576
3.14322400 4.18547201 4.93336010
3.13975191 4.18788815 4.93065596
3.13882804 4.18806410 4.93649578
3.13824010 4.19153595 4.93926382
3.14143991 4.18706417 4.93593597
3.14294004 4.18823195 4.92617607
3.14200807 4.19005585 4.93609619
3.14409590 4.19607210 4.93563223
3.14005589 4.19700003 4.92396784
3.14046001 4.18643999 4.93624020
3.13793206 4.18387985 4.93532801
3.14296794 4.19064808 4.93638420
3.14121604 4.18999195 4.94432020
3.14381599 4.19136810 4.93423986
3.14265609 4.18843985 4.94537592
3.14041209 4.19333601 4.92841578
3.14161611 4.18663216 4.93411207
3.14544797 4.18606377 4.92606401
3.14215207 4.18636799 4.93603182
3.13976002 4.18473577 4.92788792
3.14280796 4.18837595 4.92588806
3.13951993 4.18827200 4.92956781
3.14075208 4.19172001 4.94860792
3.14188004 4.18664789 4.93703985
3.14076805 4.19407988 4.94903994
3.14102411 4.18576813 4.93734407
3.14357996 4.19492817 4.94171190
3.14450002 4.18923998 4.93611193
3.14273190 4.18809605 4.93631983
3.14182806 4.18360806 4.93659210
3.13846803 4.18720007 4.94840002
3.14355612 4.19115210 4.92830420
3.14173603 4.18627977 4.92476797
3.14197993 4.18531990 4.93107224
3.14071989 4.19176817 4.93915176
3.14115596 4.18840790 4.93350410
3.14152789 4.18866396 4.94091177
3.14104390 4.18529606 4.94955206
3.13768005 4.19023180 4.92416000
3.14448404 4.18508005 4.94022417
3.14423990 4.18730402 4.92872000
3.14140797 4.18992805 4.93020821
3.14498401 4.19155216 4.92697620
3.14308405 4.18720007 4.94758415
3.13994789 4.18529606 4.94456005
3.14191604 4.19394398 4.92276812
3.14043188 4.18707991 4.93603182
3.14143991 4.18419981 4.94187212
3.14184403 4.19442415 4.92883205
3.14366007 4.19198418 4.93156815
3.14269590 4.18787193 4.92649603
3.14093590 4.19128799 4.94267178
3.14244795 4.19292021 4.93728018
3.14163589 4.18618393 4.93283176
3.14109993 4.18786383 4.94878387
3.14033198 4.19000006 4.93710423
3.14142394 4.19142389 4.93281603
3.14139605 4.18340015 4.93417597
3.14170003 4.18888807 4.92556810
3.14187193 4.19149590 4.94375992
3.14258409 4.19095993 4.91268778
3.14210796 4.18500805 4.93142414
3.14340401 4.19262409 4.93134403
3.14201593 4.19319201 4.93892813
3.14121199 4.18516016 4.94283199
3.14500403 4.18988800 4.93070412
3.13749599 4.19405603 4.93347216
3.14430404 4.19218397 4.93059206
3.14297605 4.19095182 4.93646383
3.13924408 4.18671179 4.93347216
3.14111590 4.19144011 4.93627214
3.14162397 4.18601608 4.92281580
3.14119601 4.18974400 4.92679977
3.13901997 4.18640804 4.94641590
3.14086008 4.19500780 4.95088005
3.14054394 4.19040012 4.95078421
3.14083600 4.19137621 4.92739201
3.14021993 4.18854380 4.93003178
3.13951993 4.18783998 4.93438387
3.14098406 4.18874407 4.93721581
3.14012408 4.18614388 4.91606379
3.13967991 4.18821621 4.93438387
3.14146805 4.18887997 4.93875217
3.14090395 4.18667221 4.92217588
3.13937998 4.18944788 4.93059206
3.14017200 4.18698406 4.94481611
3.13966799 4.19457579 4.92550421
3.13875604 4.18375206 4.92979193
3.14365196 4.18575191 4.94966412
3.14183998 4.19061613 4.92640018
3.13908005 4.19560814 4.92715216
3.14267206 4.18581581 4.94809580
3.14373589 4.19104815 4.93193579
3.14102411 4.19104815 4.93139219
3.14125991 4.19218397 4.93919992
3.14259195 4.18546391 4.92225599
3.14338803 4.19295216 4.94454384
3.14357209 4.19140816 4.93604803
3.14217591 4.18347979 4.92996788
3.14567995 4.19045591 4.92446423
3.14142799 4.18854380 4.92998409
3.14251208 4.19094419 4.93180799
3.14290810 4.18549585 4.94553614
3.14063597 4.18681622 4.93035221
3.13656807 4.18965578 4.93446398
3.14406395 4.18192816 4.93761587
3.14286399 4.18890381 4.92020798
3.14497590 4.18621588 4.93793583
3.14205194 4.19474411 4.93622398
3.13778806 4.18551207 4.93166399
3.14134407 4.18627214 4.92859221
3.14121199 4.19212818 4.93588781
3.14251590 4.19880819 4.94625616
3.13914394 4.18187189 4.93243217
3.14317989 4.19051981 4.93691206
3.14005589 4.18551207 4.92990398
3.13968801 4.18607998 4.93168020
3.14095211 4.19127989 4.93326378
3.13976002 4.18320799 4.93891191
3.14192796 4.18317604 4.91750383
3.14204001 4.18419218 4.92392015
3.14181590 4.19095993 4.92977619
3.14136410 4.18768787 4.95039988
3.14116406 4.18873596 4.93782377
3.14294004 4.18774414 4.94632006
3.13971210 4.18548012 4.94673586
3.14134407 4.18813610 4.93252802
3.14481211 4.19117594 4.93971205
3.14412403 4.18688011 4.95100784
3.13901210 4.18824005 4.93174410
3.14420009 4.18643999 4.92998409
3.13786793 4.19307184 4.95214415
3.14107203 4.19012022 4.93955183
3.13973188 4.18445587 4.93697596
3.14206791 4.19641590 4.93964815
3.14231992 4.18767214 4.92776012
3.13980389 4.18843985 4.93771219
3.14060807 4.18920803 4.93247986
3.14225197 4.18694401 4.93620777
3.14145589 4.18896818 4.93012810
