d1 d2 d3
3.14612007 4.20463991 4.93567991
3.13511992 4.18872023 4.92127991
3.14795995 4.19528008 4.93151999
3.14332008 4.20279980 4.90159988
3.13919997 4.16807985 4.95007992
3.13860011 4.18911982 4.95151997
3.13775992 4.17863989 4.89792013
3.14867997 4.17863989 4.92975998
3.14531994 4.19464016 4.95648003
3.13888001 4.19551992 4.95039988
3.14788008 4.19479990 4.94176006
3.14016008 4.17831993 4.94352007
3.14423990 4.18079996 4.95024014
3.13791990 4.17047977 4.96719980
3.14660001 4.21320009 4.92223978
3.14335990 4.18928003 4.94239998
3.13879991 4.17503977 4.93423986
3.14152002 4.16936016 4.97552013
3.13892007 4.17040014 4.89519978
3.14043999 4.18591976 4.93680000
3.14204001 4.21063995 4.95904016
3.13779998 4.19759989 4.94191980
3.14644003 4.18111992 4.94352007
3.14319992 4.17199993 4.90751982
3.13696003 4.16079998 4.92271996
3.14036012 4.19303989 4.94831991
3.13551998 4.17920017 4.92736006
3.14163995 4.18255997 4.91183996
3.14644003 4.18775988 4.95919991
3.14416003 4.20111990 4.93824005
3.14228010 4.16616011 4.95552015
3.15219998 4.19303989 4.97423983
3.14720011 4.16319990 4.96352005
3.14355993 4.18959999 4.94127989
3.13547993 4.18856001 4.97423983
3.14608002 4.19591999 4.90367985
3.14511991 4.17944002 4.93135977
3.13116002 4.16896009 4.93487978
3.14068007 4.18416023 4.96831989
3.14264011 4.17568016 4.97103977
3.13615990 4.18552017 4.94032001
3.14980006 4.16544008 4.89279985
3.14244008 4.18624020 4.98528004
3.13815999 4.18120003 4.95039988
3.13188004 4.19343996 4.96288013
3.14700007 4.19280005 4.88704014
3.13495994 4.20559978 4.91919994
3.14359999 4.19880009 4.95007992
3.14059997 4.18663979 4.93535995
3.14292002 4.17503977 4.91328001
3.13852000 4.19856024 4.95855999
3.13572001 4.19288015 4.93151999
3.15183997 4.21808004 4.93103981
3.13815999 4.19647980 4.94992018
3.14387989 4.19975996 4.90447998
3.14296007 4.16616011 4.93472004
3.14727998 4.17392015 4.96400023
3.13840008 4.19912004 4.93007994
3.14163995 4.19384003 4.92719984
3.14396000 4.19967985 4.91007996
3.14172006 4.20911980 4.93135977
3.13976002 4.17095995 4.95264006
3.14172006 4.21055984 4.93711996
3.13484001 4.19744015 4.91056013
3.14540005 4.19328022 4.94159985
3.14375997 4.17679977 4.94912004
3.14664006 4.19008017 4.94288015
3.14851999 4.19488001 4.93951988
3.14684010 4.19208002 4.89215994
3.13235998 4.17080021 4.95503998
3.14120007 4.18455982 4.92992020
3.12980008 4.21184015 4.93423986
3.13743997 4.18752003 4.89183998
3.13860011 4.19159985 4.91631985
3.15055990 4.16976023 4.94927979
3.13256001 4.18959999 4.98704004
3.14319992 4.15447998 4.95535994
3.14851999 4.19840002 4.91936016
3.14527988 4.18039989 4.92784023
3.13892007 4.20679998 4.93711996
3.13888001 4.21600008 4.91391993
3.14019990 4.17184019 4.89071989
3.14228010 4.19015980 4.98383999
3.13696003 4.19424009 4.90655994
3.13260007 4.17047977 4.93504000
3.14768004 4.18064022 4.93904018
3.14660001 4.16376019 4.96687984
3.13903999 4.18696022 4.89152002
3.14303994 4.18319988 4.93215990
3.14716005 4.19975996 4.88144016
3.13484001 4.20183992 4.94256020
3.13319993 4.18720007 4.94447994
3.14468002 4.17679977 4.93151999
3.15307999 4.19664001 4.93024015
3.14655995 4.19560003 4.99471998
3.14639997 4.18016005 4.99168015
3.14244008 4.18904018 4.95007992
3.14043999 4.18703985 4.97440004
3.14475989 4.18887997 4.91936016
3.14447999 4.18520021 4.94687986
3.14603996 4.18007994 4.90000010
3.14100003 4.18527985 4.90127993
3.13192010 4.19632006 4.94927979
3.15475988 4.20648003 4.90159988
3.14775991 4.19032001 4.96176004
3.15143991 4.19008017 4.91839981
3.14276004 4.19072008 4.91408014
3.14603996 4.19647980 4.93487978
3.14071989 4.19511986 4.96848011
3.13452005 4.18319988 4.92863989
3.14107990 4.15952015 4.91807985
3.14847994 4.16463995 4.92191982
3.14940000 4.18336010 4.94352007
3.13964009 4.18696022 4.99247980
3.14531994 4.18319988 4.95071983
3.14456010 4.17967987 4.94176006
3.14524007 4.18383980 4.91839981
3.14228010 4.19424009 4.92464018
3.15147996 4.17127991 4.98591995
3.13940001 4.20111990 4.92944002
3.13400006 4.18472004 4.95520020
3.14996004 4.18376017 4.93039989
3.13456011 4.20319986 4.94960022
3.13459992 4.18951988 4.90560007
3.14587998 4.19144011 4.91311979
3.13664007 4.15280008 4.95855999
3.14120007 4.19367981 4.96479988
3.13231993 4.17303991 4.91120005
3.14176011 4.20103979 4.94751978
3.14479995 4.18864012 4.98016024
3.14615989 4.18879986 4.94784021
3.14328003 4.17511988 4.89504004
3.14204001 4.18088007 4.94176006
3.13407993 4.18559980 4.94944000
3.14131999 4.17568016 4.90416002
3.13895988 4.20136023 4.98383999
3.13280010 4.17808008 4.97039986
3.13371992 4.19952011 4.91856003
3.14163995 4.20472002 4.96831989
3.14211988 4.20656013 4.93007994
3.14520001 4.20631981 4.93872023
3.14411998 4.20128012 4.98303986
3.14872003 4.19528008 4.94063997
3.14459991 4.17647982 4.91359997
3.13635993 4.17352009 4.94159985
3.13727999 4.21144009 4.90719986
3.14260006 4.19960022 4.93919992
3.13931990 4.17320013 4.88895988
3.13495994 4.19712019 4.96415997
3.14091992 4.19055986 4.89728022
3.13707995 4.18783998 4.91567993
